Attribute,Mapping
luxury,comfort
room,comfort
tall,comfort
interior,comfort
interiors,comfort
luxurious,comfort
ergonomics,comfort
seat,comfort
seats,comfort
cargo,comfort
thigh,comfort
lumbar,comfort
leather,comfort
gps,console
navigation,console
nav,console
dashboard,console
monitor,console
dash,console
console,console
entertainment,console
infotainment,console
music,console
cd,console
bluetooth,console
mp3,console
cds,console
stereo,console
player,console
audio,console
radio,console
efficiency,efficiency
mileage,efficiency
mpg,efficiency
gas,efficiency
efficient,efficiency
fuel,efficiency
economy,efficiency
performance,performance
awd,performance
fwd,performance
rwd,performance
power,performance
turbocharge,performance
horsepower,performance
hp,performance
speed,performance
acceleration,performance
accelerate,performance
pick-up,performance
turbo,performance
handling,performance
mph,performance
5-speed,performance
reliable,performance
drivetrain,performance
reliability,performance
6-speed,performance
7-speed,performance
engine,performance
v6,performance
v8,performance
4-speed,performance
accelerator,performance
manual,performance
automatic,performance
engines,performance
cvt,performance
sport,performance
cylinder,performance
cylinders,performance
cyl,performance
v-6,performance
v-8,performance
responsive,performance
throttle,performance
torque,performance
sporty,performance
suspension,performance
safety,safety
safe,safety
airbags,safety
airbag,safety
tires,safety
tire,safety
radial,safety
goodyear,safety
bridgestone,safety
brakes,safety
sunroof,styling
color,styling
paint,styling
alloys,styling
wheels,styling
wheel,styling
chrome,styling
rims,styling
headlight,styling
headlights,styling
warranty,maintenance
warranties,maintenance
maintenance,maintenance
repair,maintenance
service,maintenance
replace,maintenance
replacement,maintenance
suspension,performance
transmission,performance
transmissions,performance
rpm,performance
